dsample,time_ndm,time_kndm,RMSE_rand,MAE_rand,R2_rand,RMSE_AOA_surf_rand,MAE_AOA_surf_rand,R2_AOA_surf_rand,in_AOA_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_AOA_surf_spatial,MAE_AOA_surf_spatial,R2_AOA_surf_spatial,in_AOA_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_AOA_surf_kndm,MAE_AOA_surf_kndm,R2_AOA_surf_kndm,in_AOA_kndm,RMSE_nndm,MAE_nndm,R2_nndm,RMSE_AOA_surf_nndm,MAE_AOA_surf_nndm,R2_AOA_surf_nndm,in_AOA_nndm,time_kndm_mod,time_ndm_mod
sregular,0.661999999999999,0.04899999999999949,0.10219061590185531,0.07658421763480597,0.7835564299083175,0.0947842038749852,0.07012660733684702,0.848134758289729,94.5324107483975,0.09914156434401754,0.07395444703825532,0.850085881028581,0.13024970393515012,0.10364568198720614,0.6780398501449639,0.09851627141129667,0.07328098802035063,0.8465717573264039,98.95572441312561,0.10005754181462378,0.07670658670880255,0.7999505515568477,0.09393660920830324,0.0694212149343652,0.8483930994229217,93.06787791314683,0.0967789807968028,0.07319415077072296,0.8145526988682218,0.09510625342415356,0.07034808503046341,0.8469413884260835,94.71070170225411,1.0080000000000027,9.313000000000002
wregular,0.7209999999999965,0.21000000000000085,0.09995003079295689,0.0742267664637184,0.7972748013168001,0.0986777332847089,0.07320338143965222,0.8233876772586675,94.79984717918241,0.10721597811223647,0.07999438920095238,0.8325689800980555,0.1336365079646815,0.10669294155150595,0.5993364646287962,0.10373400887851993,0.07747052164966912,0.8306686363312349,98.44632168782103,0.10167067183504284,0.07536703777784984,0.7870225107064328,0.0999139473225031,0.07427289446430421,0.8251226323775006,95.86959290232203,0.10128322761890432,0.07412084426708153,0.7833296292650079,0.09976322476189163,0.07413701503534578,0.8249321086775067,95.737997198285,1.0119999999999933,9.609000000000002
random,0.3539999999999992,0.04000000000000625,0.08619278255325555,0.06259538938543448,0.8880264138817423,0.08279967853273068,0.061835834770287354,0.8861622673103849,93.27163900326867,0.10185102500880258,0.07182744251399563,0.8320105328151985,0.1524765912971805,0.11088530775186298,0.5820384154124483,0.09908035575664552,0.06967672305975468,0.8316226764859448,98.3317060746275,0.09295386288966827,0.06961157643515618,0.861830916668142,0.08194897233286934,0.06141507686706561,0.8875232123622403,93.09334804941206,0.0884010308354934,0.06409566105217362,0.8783858382089239,0.08034784093039951,0.06030975208293186,0.890602431507308,91.42929914675044,1.0010000000000048,9.488
wclust,1.8200000000000216,0.40799999999998704,0.09190594522794496,0.06197223432026492,0.8228786550792966,0.08527162049810573,0.06252338940190663,0.8703661362452715,86.64515855159826,0.11194555263770375,0.07729771159672837,0.7925345070443187,0.17867647991931815,0.1352027704602589,0.31459739811533355,0.09405947835263245,0.06800764169988892,0.8412320708695387,95.69979199388716,0.09888072768723657,0.0762865535310594,0.8320403596002244,0.0858224702985509,0.06309409386446303,0.8699759867583202,88.37288279492296,0.11157664647725195,0.08199110729771668,0.7741549201358178,0.08590481539600524,0.06316510325031158,0.8701557074201747,88.64880927112961,0.9819999999999709,9.569000000000017
sclust,2.146000000000015,0.3079999999999927,0.06332860686751557,0.04695111806435355,0.9006837698321014,0.08931455595263713,0.06683303603093636,0.8145002202197607,62.45277412234156,0.1327396720088952,0.09903084901368059,0.7101688514486528,0.10735500441817587,0.08105847456150378,0.7595184484271891,0.11853838464951788,0.08793335690711175,0.7401990810088063,91.3613787833765,0.1123781515416011,0.08540587246138916,0.6958087137836415,0.12479121970842018,0.09251452891945265,0.7230147635786129,95.04181347370209,0.09750277096203944,0.07342535952499292,0.7830855639684374,0.12104277897671373,0.08976505149594789,0.7365588163497744,92.74101116440973,0.9839999999999804,8.690999999999974
sregular,0.38400000000000034,0.14899999999999736,0.09775935322683722,0.07563390174473425,0.8606715070594815,0.08016512804258084,0.06117239566535508,0.9013929221485243,98.87931400432993,0.08149276093238565,0.06210294634493883,0.9004895920560521,0.1331895563714464,0.10566852661190296,0.7251881218003665,0.08056641136189156,0.06151068679300032,0.9013258162739639,99.48210722927368,0.09787551999546244,0.07397991395557321,0.8557309788067988,0.07972708881683448,0.0608530894574858,0.9020281745187156,98.62036761896677,0.09995839053170398,0.07853546232455859,0.8778894160039783,0.0802317309771823,0.0612215508909791,0.9015610469712019,99.00666468565606,1.051000000000002,10.076
wregular,2.413000000000004,0.11899999999999977,0.0876085022579549,0.06941818354939028,0.8911895229059487,0.09232704544221061,0.07063842664816933,0.8727073651612821,96.42144585473532,0.09679315582112351,0.07410936714207805,0.8778000824822649,0.13169724374296357,0.10708264501632586,0.6898308370704942,0.09249555111092655,0.07070855855892803,0.8714827015873727,96.6931273082311,0.09094563655975263,0.07306329317188057,0.8932299004736952,0.09262378846801385,0.07085300477807605,0.8724191571464119,96.85019314853335,0.09104242154596202,0.0711765760075387,0.8580034491125625,0.09024422275332378,0.06898647875718171,0.8701918085267978,94.70645667954324,1.0060000000000002,9.908999999999992
random,0.36599999999999966,0.2810000000000059,0.0908694854962369,0.06391256937154567,0.8588601325158001,0.09942653109615486,0.0734271905988904,0.819655809048484,95.18189922316085,0.11366162732568874,0.08125671172364922,0.7784616376946416,0.12730148724879992,0.09232469237131687,0.7164315827269443,0.10346810625786922,0.07545202699012288,0.8069189557568042,96.59549178588105,0.09181941891539598,0.07021922003215489,0.8848906141210836,0.10390338044862236,0.07566150436692527,0.801835916080005,96.13278431039606,0.09181438735541808,0.065422641369759435,0.8555614308374697,0.103431564625238,0.07551044218661149,0.8063065054421699,96.46389608184404,0.9959999999999951,9.656999999999996
wclust,3.858000000000004,0.8369999999999891,0.09010630185293146,0.06929864425462981,0.8920388678529114,0.09713492269432661,0.07394345070350922,0.8050590116157152,86.5178078702721,0.1073783102076006,0.08301079136314801,0.8302750004615046,0.141948173411043,0.1153001336986199,0.7392001125601902,0.10252506292919808,0.07887405319818908,0.8166113842441125,95.95449335653946,0.10752612200775523,0.08337651467225204,0.8379022821221385,0.10122912732075359,0.07775263965376664,0.8125533123591935,95.16067410960649,0.10639184397320005,0.08011099578352025,0.8389378744502153,0.10149052882456151,0.07799837755665051,0.8132020841644456,95.48329583563272,0.9540000000000077,9.809999999999974
sclust,0.6070000000000277,0.27799999999996317,0.08660858678946155,0.05848747168124964,0.8403048406827963,0.10454700043872012,0.08323105710607806,0.8187427301406482,78.63480069618373,0.16273245572922054,0.12080718118682143,0.741465001818776,0.1516734550244277,0.10443399223590889,0.36775329526708167,0.15617467593311546,0.11649772315083846,0.7464442056100318,98.42509657426668,0.1373180966873236,0.09399372686527671,0.48176816191491206,0.12916887537596755,0.09906543107574811,0.7767236880070916,90.68217514963705,0.13579827644654716,0.0937715736830607,0.4982238947071837,0.13430971491905677,0.10256936025333735,0.7681600478746212,93.09759307212293,1.0090000000000146,9.34499999999997
sregular,0.6900000000000013,0.05000000000000071,0.10806324015357195,0.08213978964918547,0.8437063594457249,0.08725938762939023,0.06868059874412828,0.8978727617771463,97.74589294052724,0.08853271399492829,0.06993817006372591,0.9028061306743954,0.13424894511178986,0.10577236909488455,0.7295193540098686,0.08838055546836879,0.06978331805477198,0.9019743278292159,99.69011334210637,0.10747192885672338,0.08089370364703934,0.8241540376921849,0.08657819036197095,0.06815843045349049,0.8974762277191809,96.9181135119073,0.1059484819458034,0.08003226608757802,0.8252895848339373,0.08644482482377625,0.06805985071170877,0.8977077280222205,96.97754382985948,1.0319999999999965,10.037999999999997
wregular,0.3570000000000064,0.03900000000000148,0.10196478227246601,0.07756295424175955,0.832222364318773,0.09122126770130107,0.06874362327222361,0.8744511340421458,98.46330177866452,0.09256946686716284,0.06996691582813629,0.877788827576996,0.13714768042213826,0.10614838022109675,0.656411967640485,0.09182029411274288,0.06925263962780012,0.8756699336799257,99.1509954578257,0.10018113548065086,0.0763694957219227,0.8272657955747788,0.09154128125868716,0.06895228758965846,0.8746377078692595,98.68828798234071,0.10131961082393218,0.07339036243340198,0.8150652536477905,0.09141499771971945,0.06880083937907057,0.873592810168918,98.06002462113173,1.0519999999999996,10.349000000000004
