dsample,RMSE_rand,MAE_rand,R2_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_nndm,MAE_nndm,R2_nndm
sregular,0.10378856301376523,0.07715362162313114,0.7893987308445973,0.09305436218091236,0.07150582958128784,0.8828033599808753,0.1340583490827457,0.10123580260613313,0.620835177679545,0.1037183032625497,0.07636423284790168,0.796064483721938,0.09993813161628025,0.07352834455806763,0.8107989840503557
wregular,0.09615728143720752,0.06829154697987405,0.802509977153024,0.09630060247938985,0.07082025277573813,0.8540290030526423,0.1329053444862374,0.10073895725112875,0.6331543290943206,0.09443173992534126,0.06928829008059421,0.8081838592939392,0.09620771217866925,0.0712710152617578,0.7997273801930264
random,0.09239159678640124,0.0703018070359303,0.8507273521154947,0.09126047207152731,0.0688389282338498,0.8631724288052274,0.12821201513641817,0.10206641421430433,0.6895076568413869,0.1003638456949776,0.07492498108249936,0.8237670958728318,0.09510820491357458,0.07362242110485057,0.8465048746426515
wclust,0.08786157539127938,0.06328073099329136,0.8813282156389569,0.10590711154757737,0.08122213616540383,0.8134143692988165,0.13933041365728124,0.09678302664155142,0.6399171528466339,0.10377788830059544,0.07766991662150557,0.8246897609066345,0.10973897547558936,0.0790104293668503,0.8060092381411545
sclust,0.09152652064774526,0.06262066952617219,0.8020403927524292,0.11211019564650865,0.08459604684177573,0.8113757458757023,0.1394050493926254,0.1012706538862735,0.5268455250485518,0.135968476900201,0.09606441328018904,0.5755893117144767,0.13440201116738132,0.094573271790271,0.5489776932606533
sregular,0.09703493403826138,0.07226012477074072,0.82928551757279,0.12260827969391759,0.09122193737198225,0.8047403204033278,0.13649377593605472,0.10145887741237422,0.5964573512554086,0.09716929319642265,0.07093798059863704,0.8021153729313902,0.09240900334853565,0.06723927853919796,0.8222852649043696
wregular,0.09882742754691011,0.07210714594256754,0.8242143164092822,0.0899333301383828,0.0708685625756947,0.8872911084168803,0.13843806215125412,0.09901502324727054,0.6477906726460604,0.09976505447113508,0.07426980106337151,0.8215954562056433,0.10315423664470132,0.07614088083217387,0.8082206976282519
random,0.0961294748451006,0.07315211102260899,0.8586270628680198,0.09691382950162332,0.07439924438142637,0.889614588834752,0.14597806859322904,0.11384881736222655,0.5649671089285592,0.10106783919467272,0.07639016323360304,0.8366877009945354,0.09846074086011354,0.0768244508853803,0.8498105347260879
wclust,0.0897632274412379,0.066100645297262825,0.8751563852059826,0.10868432104758458,0.08270340954783248,0.7972817572802948,0.1611142627676249,0.13485143440016858,0.5906678771535866,0.12271700085598247,0.0987593363004364,0.7590078550061876,0.10637666267314984,0.07916754772007155,0.8061599229175701
sclust,0.06226460123794838,0.04434081230918568,0.9187634367509372,0.13150540935554136,0.09600007134192111,0.7315272056494748,0.09724047609903026,0.07567501451004917,0.7930552749590826,0.09833825920733844,0.07980423946643248,0.8295397688329216,0.09155004730365744,0.0695144283964547,0.7908749620281523
sregular,0.09982588893540592,0.07737645588243636,0.8363323411779606,0.08016184940273839,0.06178992998214153,0.9005021201252168,0.14349690278593255,0.11326164623318861,0.6404307210278212,0.09966971526640775,0.07519987451397736,0.8347687418486457,0.09675595256046571,0.07419710706324723,0.8415346491375426
wregular,0.09614709976386833,0.06986491060704879,0.8267999619023186,0.1025952152678553,0.07616327303836624,0.8303466523955965,0.13687727645761125,0.10613382284694231,0.6523197232625408,0.0993326769066835,0.07270058998214333,0.813563858616816,0.09715001031815607,0.06963453661229108,0.8199443913707971
random,0.09715057043561566,0.07735515241047988,0.8468852141039065,0.10429337779609382,0.07826859411908688,0.8540003096442523,0.12912642802115826,0.10573444457208117,0.6926368266300691,0.09695997839383537,0.07711494840999444,0.8465818700445503,0.09729187820509295,0.07583894877063731,0.8413496701207693
wclust,0.10324596245467632,0.06948702777720987,0.7729667679560204,0.10803877872013419,0.07853035586311496,0.8098652810500406,0.16177989860528438,0.12267717890330898,0.4405936023175269,0.12460418160298438,0.09327204766848436,0.7013648059461584,0.11299048503180022,0.08257645158021401,0.7588817551454673
