"","method","variate","design","number","RMSE","k","methodID","rRMSE"
"1","exhaustive_caret_5k","AGB","clusterGapped",1,29.4817070831298,NA,0,0
"2","exhaustive_caret_5k","AGB","clusterGapped",2,29.0792216134629,NA,0,0
"3","exhaustive_caret_5k","AGB","clusterGapped",3,30.8310040337311,NA,0,0
"4","exhaustive_caret_5k","AGB","clusterGapped",4,30.77487942234,NA,0,0
"5","exhaustive_caret_5k","AGB","clusterGapped",5,30.1777407200616,NA,0,0
"6","exhaustive_caret_5k","AGB","clusterGapped",6,29.1516010719878,NA,0,0
"7","exhaustive_caret_5k","AGB","clusterGapped",7,31.239541551169,NA,0,0
"8","exhaustive_caret_5k","AGB","clusterGapped",8,30.443477041873,NA,0,0
"9","exhaustive_caret_5k","AGB","clusterGapped",9,32.3245981046422,NA,0,0
"10","exhaustive_caret_5k","AGB","clusterGapped",10,30.9948066704156,NA,0,0
"11","exhaustive_caret_5k","AGB","clusterGapped",11,29.4445649024737,NA,0,0
"12","exhaustive_caret_5k","AGB","clusterGapped",12,32.049595918748,NA,0,0
"13","exhaustive_caret_5k","AGB","clusterGapped",13,30.8686549813237,NA,0,0
"14","exhaustive_caret_5k","AGB","clusterGapped",14,29.175788524341,NA,0,0
"15","exhaustive_caret_5k","AGB","clusterGapped",15,31.7304446877324,NA,0,0
"16","exhaustive_caret_5k","AGB","clusterGapped",16,32.7343937030243,NA,0,0
"17","exhaustive_caret_5k","AGB","clusterGapped",17,29.6966708981297,NA,0,0
"18","exhaustive_caret_5k","AGB","clusterGapped",18,29.9719709028615,NA,0,0
"19","exhaustive_caret_5k","AGB","clusterGapped",19,30.9003322159969,NA,0,0
"20","exhaustive_caret_5k","AGB","clusterGapped",20,29.7168488405672,NA,0,0
"21","exhaustive_caret_5k","AGB","clusterGapped",21,30.0445818702926,NA,0,0
"22","exhaustive_caret_5k","AGB","clusterGapped",22,30.1234453879801,NA,0,0
"23","exhaustive_caret_5k","AGB","clusterGapped",23,31.197200744391,NA,0,0
"24","exhaustive_caret_5k","AGB","clusterGapped",24,28.7028606532727,NA,0,0
"25","exhaustive_caret_5k","AGB","clusterGapped",25,30.6996317661269,NA,0,0
"26","exhaustive_caret_5k","AGB","clusterGapped",26,30.4590343783075,NA,0,0
"27","exhaustive_caret_5k","AGB","clusterGapped",27,32.0928957106992,NA,0,0
